Name,Frequency
C0,16.35
C0_#,17.32
D0,18.35
D0_#,19.45
E0,20.6
F0,21.83
F0_#,23.12
G0,24.5
G0_#,25.96
A0,27.5
A0_#,29.14
B0,30.87
C1,32.7
C1_#,34.65
D1,36.71
D1_#,38.89
E1,41.2
F1,43.65
F1_#,46.25
G1,49.0
G1_#,51.91
A1,55.0
A1_#,58.27
B1,61.74
C2,65.41
C2_#,69.3
D2,73.42
D2_#,77.78
E2,82.41
F2,87.31
F2_#,92.5
G2,98.0
G2_#,103.83
A2,110.0
A2_#,116.54
B2,123.47
C3,130.81
C3_#,138.59
D3,146.83
D3_#,155.56
E3,164.81
F3,174.61
F3_#,185.0
G3,196.0
G3_#,207.65
A3,220.0
A3_#,233.08
B3,246.94
C4,261.63
C4_#,277.18
D4,293.66
D4_#,311.13
E4,329.63
F4,349.23
F4_#,369.99
G4,392.0
G4_#,415.3
A4,440.0
A4_#,466.16
B4,493.88
C5,523.25
C5_#,554.37
D5,587.33
D5_#,622.25
E5,659.25
F5,698.46
F5_#,739.99
G5,783.99
G5_#,830.61
A5,880.0
A5_#,932.33
B5,987.77
C6,1046.5
C6_#,1108.73
D6,1174.66
D6_#,1244.51
E6,1318.51
F6,1396.91
F6_#,1479.98
G6,1567.98
G6_#,1661.22
A6,1760.0
A6_#,1864.66
B6,1975.53
C7,2093.0
C7_#,2217.46
D7,2349.32
D7_#,2489.02
E7,2637.02
F7,2793.83
F7_#,2959.96
G7,3135.96
G7_#,3322.44
A7,3520.0
A7_#,3729.31
B7,3951.07
C8,4186.01
C8_#,4434.92
D8,4698.63
D8_#,4978.03
E8,5274.04
F8,5587.65
F8_#,5919.91
G8,6271.93
G8_#,6644.88
A8,7040.0
A8_#,7458.62
B8,7902.13
